2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Net.Primitives | Elapsed: 88ms | Delta: 3ms
dotnet watch 🚀 Launched '/usr/share/dotnet/dotnet' with arguments 'msbuild /restore /nologo /v:m /app/TaxxorEditor/TaxxorEditor.csproj /t:GenerateWatchList /p:_DotNetWatchListFile=/tmp/tmpKT47VO.tmp /p:DotNetWatchBuild=true /p:DesignTimeBuild=true /p:CustomAfterMicrosoftCommonTargets=/usr/share/dotnet/sdk/9.0.201/DotnetTools/dotnet-watch/9.0.201-servicing.25113.29/tools/net9.0/any/DotNetWatch.targets /p:CustomAfterMicrosoftCommonCrossTargetingTargets=/usr/share/dotnet/sdk/9.0.201/DotnetTools/dotnet-watch/9.0.201-servicing.25113.29/tools/net9.0/any/DotNetWatch.targets': process id 1023
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Net.Sockets | Elapsed: 88ms | Delta: 0ms
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Threading.Thread | Elapsed: 88ms | Delta: 0ms
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Collections.Concurrent | Elapsed: 88ms | Delta: 0ms
2025-03-29 14:58:32.333 [StartupProfiler] Assembly loaded: System.Diagnostics.Tracing | Elapsed: 90ms | Delta: 2ms
2025-03-29 14:58:32.333 [StartupProfiler] Assembly loaded: System.Diagnostics.DiagnosticSource | Elapsed: 90ms | Delta: 0ms
dotnet watch ⌚ Process id 1023 ran for 1053ms and exited with exit code 0.
2025-03-29 14:58:33.382 [StartupProfiler] Assembly loaded: System.Text.RegularExpressions | Elapsed: 1139ms | Delta: 1049ms
dotnet watch 🔨 2025-03-29 14:58:32.352 [StartupProfiler] StartupHook.Initialize | Elapsed: 0ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.362 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Cli.Utils | Elapsed: 11ms | Delta: 11ms
dotnet watch 🔨 2025-03-29 14:58:32.362 [StartupProfiler] Assembly loaded: System.Diagnostics.Process | Elapsed: 11ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.363 [StartupProfiler] Assembly loaded: System.ComponentModel.Primitives | Elapsed: 11ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.363 [StartupProfiler] Periodic checkpoint | Elapsed: 11ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.364 [StartupProfiler] Assembly loaded: System.Diagnostics.Tracing | Elapsed: 12ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.366 [StartupProfiler] Assembly loaded: System.Text.Encoding.CodePages | Elapsed: 15ms | Delta: 3ms
